                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2907,                 2.5399,                 1.3802,                0.77706,                0.53057,                0.53626,                 0.3218,                 1.2527,                 1.4216,                  1.302,              0.0033259,              0.0033259,              0.0033259
                      2,                  1.266,                 1.6808,                  1.343,                0.75792,                0.51583,                0.53497,                0.32599,                 1.3004,                 1.4386,                 1.3303,              0.0065933,              0.0065933,              0.0065933
                      3,                 1.3321,                 1.6712,                 1.3669,                0.64909,                0.37848,                0.37675,                0.20205,                 1.5306,                 1.6902,                 1.4971,              0.0097947,              0.0097947,              0.0097947
                      4,                 1.3981,                 1.7051,                  1.403,                0.64461,                0.43194,                0.41743,                0.24421,                 1.4774,                 1.5747,                 1.4363,               0.009703,               0.009703,               0.009703
                      5,                 1.3641,                 1.6239,                 1.3871,                0.72272,                0.34883,                0.40492,                0.23056,                 1.4915,                 1.5928,                 1.4724,               0.009604,               0.009604,               0.009604
                      6,                 1.3238,                 1.5356,                 1.3644,                0.67403,                0.46262,                0.46551,                0.26668,                 1.3742,                 1.3937,                 1.3645,               0.009505,               0.009505,               0.009505
                      7,                 1.3016,                 1.4874,                  1.353,                0.70568,                0.49283,                0.51926,                 0.3002,                 1.3528,                 1.2681,                  1.341,               0.009406,               0.009406,               0.009406
                      8,                 1.2717,                 1.4167,                 1.3282,                0.80952,                0.53646,                 0.5817,                0.34501,                 1.2916,                 1.2344,                 1.2986,               0.009307,               0.009307,               0.009307
                      9,                 1.2552,                 1.3549,                 1.3157,                0.79458,                0.51091,                0.54559,                0.32757,                 1.3074,                 1.1824,                 1.3054,               0.009208,               0.009208,               0.009208
                     10,                 1.2433,                 1.3393,                 1.3167,                0.76392,                0.55748,                 0.5518,                0.34078,                 1.2737,                 1.1422,                 1.3067,               0.009109,               0.009109,               0.009109
                     11,                 1.2201,                 1.2961,                 1.3019,                0.79814,                0.52492,                0.58021,                0.33366,                 1.2889,                 1.1882,                 1.2907,                0.00901,                0.00901,                0.00901
                     12,                 1.2102,                 1.2723,                 1.2904,                0.79922,                0.53148,                0.58288,                  0.366,                  1.248,                 1.1048,                 1.2864,               0.008911,               0.008911,               0.008911
                     13,                 1.1893,                 1.2434,                  1.283,                0.83762,                0.57061,                0.60258,                0.38061,                 1.2311,                 1.0282,                 1.2562,               0.008812,               0.008812,               0.008812
                     14,                 1.1845,                 1.2181,                 1.2743,                0.78915,                0.57715,                0.58983,                0.35638,                 1.2373,                 1.0645,                 1.2709,               0.008713,               0.008713,               0.008713
                     15,                 1.1889,                 1.2039,                 1.2723,                 0.8003,                0.56951,                0.59528,                 0.3689,                 1.2408,                 1.0286,                 1.2707,               0.008614,               0.008614,               0.008614
                     16,                 1.1584,                 1.1689,                 1.2625,                0.84147,                0.59172,                0.61856,                0.37431,                 1.2089,                0.98996,                 1.2444,               0.008515,               0.008515,               0.008515
                     17,                  1.161,                 1.1761,                 1.2652,                0.85006,                0.57403,                0.60733,                 0.3788,                 1.1894,                0.96895,                 1.2342,               0.008416,               0.008416,               0.008416
                     18,                 1.1471,                 1.1452,                 1.2482,                0.81453,                0.61364,                0.61727,                0.38493,                 1.1951,                0.98829,                 1.2405,               0.008317,               0.008317,               0.008317
                     19,                   1.14,                 1.1365,                  1.251,                0.84993,                0.59524,                0.62967,                0.39091,                 1.1985,                0.94802,                 1.2327,               0.008218,               0.008218,               0.008218
                     20,                  1.126,                 1.1132,                 1.2403,                 0.8574,                0.60938,                0.63344,                0.39092,                 1.1978,                0.92074,                 1.2219,               0.008119,               0.008119,               0.008119
                     21,                 1.1215,                  1.101,                 1.2406,                0.86151,                 0.5984,                0.63893,                0.39849,                 1.1782,                0.93416,                 1.2168,                0.00802,                0.00802,                0.00802
                     22,                 1.1233,                 1.0943,                 1.2354,                0.82471,                0.61897,                 0.6207,                0.39418,                 1.1538,                0.91493,                 1.2013,               0.007921,               0.007921,               0.007921
                     23,                  1.116,                 1.0901,                 1.2347,                0.85179,                   0.61,                0.63689,                0.40324,                 1.1692,                0.89183,                 1.2261,               0.007822,               0.007822,               0.007822
                     24,                 1.0996,                 1.0644,                 1.2234,                0.83621,                0.59159,                0.61639,                0.40016,                 1.1771,                0.90674,                 1.2129,               0.007723,               0.007723,               0.007723
                     25,                  1.096,                   1.06,                 1.2235,                0.84789,                0.60929,                0.63599,                0.40959,                 1.1451,                0.88666,                 1.2052,               0.007624,               0.007624,               0.007624
                     26,                 1.0899,                 1.0456,                 1.2151,                0.85532,                 0.6061,                0.62722,                0.40297,                 1.1646,                0.88154,                 1.2021,               0.007525,               0.007525,               0.007525
                     27,                  1.086,                 1.0402,                 1.2157,                0.87446,                0.59453,                0.63266,                0.40657,                 1.1492,                0.85878,                 1.1939,               0.007426,               0.007426,               0.007426
                     28,                 1.0839,                 1.0252,                 1.2131,                0.84712,                0.60243,                0.64388,                0.41219,                 1.1505,                0.89142,                 1.1984,               0.007327,               0.007327,               0.007327
                     29,                 1.0706,                 1.0111,                 1.2101,                0.87662,                0.61086,                0.64336,                 0.4164,                 1.1311,                0.86021,                 1.1926,               0.007228,               0.007228,               0.007228
                     30,                  1.057,                 1.0024,                 1.2027,                0.86055,                0.61467,                0.63615,                0.40639,                 1.1472,                0.86471,                 1.2089,               0.007129,               0.007129,               0.007129
                     31,                 1.0582,                0.99459,                 1.1994,                0.87354,                0.61951,                 0.6446,                0.41678,                 1.1386,                0.84534,                 1.2029,                0.00703,                0.00703,                0.00703
                     32,                 1.0534,                 0.9865,                 1.1993,                0.85535,                0.61403,                0.64242,                0.40404,                 1.1443,                0.84517,                 1.1957,               0.006931,               0.006931,               0.006931
                     33,                 1.0561,                0.98602,                 1.1965,                0.87389,                0.61756,                0.64896,                0.41428,                 1.1573,                0.83336,                 1.2046,               0.006832,               0.006832,               0.006832
                     34,                 1.0534,                  0.973,                 1.1919,                0.87524,                0.64611,                0.67731,                0.43716,                  1.107,                0.82527,                 1.1754,               0.006733,               0.006733,               0.006733
                     35,                  1.048,                0.96971,                 1.1942,                0.87569,                0.63961,                0.65891,                0.41612,                 1.1414,                0.83469,                 1.1929,               0.006634,               0.006634,               0.006634
                     36,                 1.0424,                0.95971,                 1.1893,                0.84409,                0.64043,                0.64895,                0.42332,                 1.1437,                0.84794,                 1.1918,               0.006535,               0.006535,               0.006535
                     37,                 1.0377,                0.95733,                 1.1837,                0.86138,                0.60538,                0.64398,                0.41827,                 1.1694,                0.83849,                 1.2115,               0.006436,               0.006436,               0.006436
                     38,                 1.0397,                0.94671,                 1.1853,                 0.8775,                0.63068,                0.65349,                 0.4298,                 1.1278,                0.80415,                  1.188,               0.006337,               0.006337,               0.006337
                     39,                 1.0162,                0.93323,                 1.1778,                0.88513,                0.64176,                0.65678,                0.42768,                 1.1366,                0.80927,                 1.1917,               0.006238,               0.006238,               0.006238
                     40,                 1.0264,                0.92601,                 1.1765,                0.87082,                0.64346,                0.66266,                0.43778,                 1.1127,                0.79947,                 1.1822,               0.006139,               0.006139,               0.006139
                     41,                 1.0199,                0.92147,                 1.1749,                0.86771,                0.64417,                0.66503,                0.43635,                 1.1122,                0.79441,                 1.1744,                0.00604,                0.00604,                0.00604
                     42,                 1.0234,                0.92299,                 1.1749,                0.86756,                0.62384,                0.65235,                0.43677,                 1.1061,                 0.7833,                 1.1744,               0.005941,               0.005941,               0.005941
